import time: self [us] | cumulative | imported package
import time:      4183 |       4183 |           postgrest.base_request_builder
import time:      1268 |       1268 |           postgrest.exceptions
import time:      1029 |       6479 |         postgrest._async.request_builder
import time:       612 |      10071 |       postgrest._async.client
import time:       198 |        198 |         postgrest._sync
import time:       766 |        766 |         postgrest._sync.request_builder
import time:       501 |       1464 |       postgrest._sync.client
import time:       340 |        340 |       postgrest.deprecated_client
import time:       266 |        266 |       postgrest.deprecated_get_request_builder
import time:       297 |      12435 |     postgrest
import time:       306 |        306 |       realtime.version
import time:       129 |        129 |         realtime._async
import time:      1801 |       1801 |         realtime.types
import time:       202 |        202 |         realtime.transformers
import time:       479 |        479 |         realtime._async.presence
import time:       297 |        297 |         realtime._async.push
import time:       268 |        268 |         realtime._async.timer
import time:      1060 |       4233 |       realtime._async.channel
import time:       418 |        418 |           websockets.imports
import time:       191 |        191 |           websockets.version
import time:       378 |        986 |         websockets
import time:       156 |        156 |           websockets.asyncio
import time:       567 |        567 |             websockets.datastructures
import time:       254 |        254 |                 websockets.speedups
import time:       259 |        259 |                     websockets.typing
import time:       343 |        602 |                   websockets.extensions.base
import time:       281 |        882 |                 websockets.extensions
import time:      2877 |       4012 |               websockets.frames
import time:      1996 |       1996 |               websockets.http11
import time:       927 |       6934 |             websockets.exceptions
import time:      1294 |       1294 |             websockets.headers
import time:       285 |        285 |               websockets.streams
import time:       986 |       1271 |             websockets.protocol
import time:      1343 |       1343 |             websockets.uri
import time:       218 |        218 |             websockets.utils
import time:       546 |      12170 |           websockets.client
import time:       485 |        485 |           websockets.extensions.permessage_deflate
import time:       172 |        172 |           websockets.asyncio.compatibility
import time:       413 |        413 |             websockets.asyncio.messages
import time:       630 |       1042 |           websockets.asyncio.connection
import time:       545 |      14568 |         websockets.asyncio.client
import time:       943 |        943 |         realtime.message
import time:       188 |        188 |         realtime.utils
import time:       609 |      17292 |       realtime._async.client
import time:       212 |        212 |         realtime._sync
import time:       322 |        534 |       realtime._sync.channel
import time:       257 |        257 |       realtime._sync.client
import time:       155 |        155 |       realtime._sync.presence
import time:       191 |        191 |       realtime.exceptions
import time:       400 |      23365 |     realtime
import time:       445 |        445 |             storage3.constants
import time:       207 |        207 |             storage3.utils
import time:       119 |        119 |             storage3.version
import time:       397 |        397 |               storage3.exceptions
import time:       182 |        182 |                     dateutil._version
import time:       211 |        393 |                   dateutil
import time:      1918 |       1918 |                     six
import time:       241 |        241 |                     dateutil._common
import time:        81 |         81 |                       six.moves
import time:       601 |        601 |                       dateutil.tz._common
import time:       306 |        306 |                       dateutil.tz._factories
import time:        46 |         46 |                         six.moves.winreg
import time:       314 |        359 |                       dateutil.tz.win
import time:      1543 |       2888 |                     dateutil.tz.tz
import time:      2148 |       7193 |                   dateutil.parser._parser
import time:       548 |        548 |                   dateutil.parser.isoparser
import time:       293 |       8426 |                 dateutil.parser
import time:      3242 |      11667 |               storage3.types
import time:      1537 |       1537 |               storage3._async.file_api
import time:       345 |      13944 |             storage3._async.bucket
import time:       284 |      14996 |           storage3._async.client
import time:       216 |      15211 |         storage3._async
import time:      1424 |       1424 |               storage3._sync.file_api
import time:       241 |       1665 |             storage3._sync.bucket
import time:       284 |       1948 |           storage3._sync.client
import time:       214 |       2162 |         storage3._sync
import time:       241 |      17613 |       storage3
import time:        28 |      17641 |     storage3.utils
import time:       289 |        289 |           supafunc._async
import time:       382 |        382 |           supafunc.errors
import time:       750 |        750 |           supafunc.utils
import time:       145 |        145 |           supafunc.version
import time:       568 |       2132 |         supafunc._async.functions_client
import time:       143 |        143 |           supafunc._sync
import time:       367 |        510 |         supafunc._sync.functions_client
import time:       318 |       2959 |       supafunc
import time:        34 |       2993 |     supafunc.errors
import time:       211 |        211 |       supabase._async
import time:       360 |        571 |     supabase._async.auth_client
import time:       192 |        192 |         supabase.lib
import time:       249 |        249 |         supabase.types
import time:       106 |        106 |         supabase.version
import time:      4154 |       4699 |       supabase.lib.client_options
import time:       621 |       5320 |     supabase._async.client
import time:       208 |        208 |       supabase._sync
import time:       363 |        571 |     supabase._sync.auth_client
import time:       482 |        482 |     supabase._sync.client
import time:       354 |     271387 |   supabase
import time:       401 |     271787 | envhub.auth
import time:       174 |        174 | envhub.reset
import time:       158 |        158 |     envhub.services
import time:      3209 |       3366 |   envhub.services.getCurrentEnvVariables
import time:       223 |        223 |   envhub.services.getCurrentUserRole
import time:       162 |        162 |   envhub.services.getEncryptedProjectPassword
import time:       126 |        126 |   envhub.services.getProjectPassword
import time:       145 |        145 |     envhub.utils
import time:       196 |        196 |       cryptography.hazmat.primitives.kdf
import time:       184 |        184 |       cryptography.hazmat.primitives.constant_time
import time:       272 |        651 |     cryptography.hazmat.primitives.kdf.pbkdf2
import time:       243 |       1037 |   envhub.utils.passwordUtils
import time:       287 |       5199 | envhub.clone
import time:       135 |        135 |       cryptography.hazmat.primitives.ciphers.aead
import time:       198 |        333 |     envhub.utils.crypto
import time:       166 |        499 |   envhub.services.createEnvVersion
import time:       174 |        673 | envhub.add
import time:       536 |        536 |   shlex
import time:       212 |        748 | envhub.decrypt
import time:       166 |        166 | envhub.pull
import time:       143 |        143 | envhub.utils.getEncryptedPasswordData
import time:       125 |        125 | envhub.utils.getPassword
import time:       110 |        110 | envhub.utils.getProjectId
import time:       112 |        112 | envhub.utils.getRole
import time:       797 |        797 | click._textwrap
